id;FirstName;LastName;PhoneNumber;incoming_number;first_call;average_calls
4;Thomas;Jean-Yves;0632108564;632108564;2016-01-13;94
5;Robert;Ursule;0699309366;699309366;2016-01-13;339
6;Richard;Hildegarde;0682792015;682792015;2016-01-10;52
7;Petit;Daniella;0647208708;647208708;2016-01-14;254
8;Durand;Brigitte:;0689168341;689168341;2016-01-11;294
9;Leroy;Imogène;0632108564;632108564;2016-01-13;94
10;Moreau;Sultan;0659368671;659368671;2016-01-08;325
12;Laurent;Cunégonde;0629397135;629397135;2016-01-17;142
14;Michel;Jean-Yves;0682020496;682020496;2016-01-17;159
15;Garcia;Ursule;0650937377;650937377;2016-01-14;490
16;David;Hildegarde;0644418361;644418361;2016-01-14;139
18;Roux;Brigitte:;0679130678;679130678;2016-01-15;437
19;Vincent;Imogène;0632989864;632989864;2016-01-15;211
21;Morel;Brunehilde;0656237091;656237091;2016-01-10;385
22;Girard;Cunégonde;0660335670;660335670;2016-01-11;266
23;Andre;Archibald;0628543746;628543746;2016-01-11;323
24;Lefevre;Jean-Yves;0650269425;650269425;2016-01-16;164
26;Dupont;Hildegarde;0671679536;671679536;2016-01-15;176
28;Bonnet;Brigitte:;0682997746;682997746;2016-01-17;363
30;Martinez;Sultan;0632488364;632488364;2016-01-12;412
32;Garnier;Cunégonde;0628145952;628145952;2016-01-09;349
33;Faure;Archibald;0664093989;664093989;2016-01-09;294
36;Guerin;Hildegarde;0646089214;646089214;2016-01-16;228
37;Muller;Daniella;0634562212;634562212;2016-01-10;141
39;Roussel;Imogène;0634238940;634238940;2016-01-09;206
40;Nicolas;Sultan;0649508037;649508037;2016-01-15;60
41;Perrin;Brunehilde;0691770229;691770229;2016-01-15;348
42;Morin;Cunégonde;0689739321;689739321;2016-01-11;352
43;Mathieu;Archibald;0634238940;634238940;2016-01-09;206
44;Clement;Jean-Yves;0638427162;638427162;2016-01-14;227
45;Gauthier;Ursule;0647095842;647095842;2016-01-11;54
46;Dumont;Hildegarde;0673561595;673561595;2016-01-09;237
47;Lopez;Daniella;0681343873;681343873;2016-01-16;334
48;Fontaine;Brigitte:;0681387976;681387976;2016-01-14;432
49;Chevalier;Imogène;0647305581;647305581;2016-01-15;329
51;Masson;Brunehilde;0694871914;694871914;2016-01-14;329
52;Sanchez;Cunégonde;0674076991;674076991;2016-01-13;77
53;Gerard;Archibald;0639344065;639344065;2016-01-08;109
56;Denis;Hildegarde;0631137346;631137346;2016-01-12;455
57;Lemaire;Daniella;0684875058;684875058;2016-01-10;472
58;Duval;Brigitte:;0694871914;694871914;2016-01-14;329
59;Joly;Imogène;0632141098;632141098;2016-01-10;236
60;Gautier;Sultan;0634238940;634238940;2016-01-09;206
